"id","title","party","author","timestamp","term","count","comment"
"1","China verurteilt kritische Journalistin Xi Jinping kehrt mit eisernen Besen","","https://quantinum.com/example.org/kb/Nzz","2015-04-17T00:00:00.000Z","KVG","1",""
"2","Werdegang eines ehemaligen Talib Vom Krieg ins zivile Leben und zurück","","https://quantinum.com/example.org/kb/Nzz","2015-04-21T00:00:00.000Z","KVG","1",""
"3","Nepals korrupte Eliten «Vom Staat erwarten wir nichts»","","https://quantinum.com/example.org/kb/Nzz","2015-05-02T00:00:00.000Z","KVG","1",""
"4","Afghanische Jungunternehmerin bringt Schwung Velotour zu den Buddhastatuen","","https://quantinum.com/example.org/kb/Nzz","2015-05-11T00:00:00.000Z","KVG","1",""
"5","Nordkoreas Verteidigungsminister Mit einer Flab-Kanone hingerichtet","","https://quantinum.com/example.org/kb/Nzz","2015-05-13T00:00:00.000Z","KVG","1",""
"6","Anzac-Day in Australien Die Hüter einer Legende","","https://quantinum.com/example.org/kb/Nzz","2015-04-23T00:00:00.000Z","KVG","1",""
"7","Landabtausch zwischen Indien und Bangladesh Das Ende eines Kuriosums","","https://quantinum.com/example.org/kb/Nzz","2015-05-10T00:00:00.000Z","KVG","1",""
"8","Reaktionen auf Abes Rede in Washington «Entschuldigung» ist ein schwieriges Wort","","https://quantinum.com/example.org/kb/Nzz","2015-04-30T00:00:00.000Z","KVG","1",""
"9","Australiens Flüchtlingspolitik als Vorbild? Empfehlungen für Europa","","https://quantinum.com/example.org/kb/Nzz","2015-04-22T00:00:00.000Z","KVG","1",""
"10","Scheinwahlen in Kasachstan Nasarbajews Angst vor dem Kontrollverlust","","https://quantinum.com/example.org/kb/Nzz","2015-04-22T00:00:00.000Z","KVG","1",""
"11","Indiens Premierminister in China Neidische Blicke vom Nachbarn","","https://quantinum.com/example.org/kb/Nzz","2015-05-12T00:00:00.000Z","KVG","1",""
"12","Südkorea Plötzlich Aussenseiter","","https://quantinum.com/example.org/kb/Nzz","2015-05-10T00:00:00.000Z","KVG","1",""
"13","Küssen verboten Sittenwächter am Palmenstrand","","https://quantinum.com/example.org/kb/Nzz","2015-05-15T00:00:00.000Z","KVG","1",""
"14","Nicaragua rüstet auf Was will Ortega mit russischen Kampfjets?","","https://quantinum.com/example.org/kb/Nzz","2015-05-06T00:00:00.000Z","KVG","1",""
"15","Höhere Strafe gefordert Adel verpflichtet – zu 14 Cent Busse","","https://quantinum.com/example.org/kb/Nzz","2015-05-16T00:00:00.000Z","KVG","1",""
"16","Indische Moralvorstellungen Laster der Moderne und Lust der Vergangenheit","","https://quantinum.com/example.org/kb/Nzz","2015-05-21T00:00:00.000Z","KVG","1",""
"17","Irrtum mit Folgen Nachzähl-Posse in Köln","","https://quantinum.com/example.org/kb/Nzz","2015-05-22T00:00:00.000Z","KVG","1",""
"18","Polio-Bekämpfung in Nigeria Licht am Ende des Tunnels","","https://quantinum.com/example.org/kb/Nzz","2015-03-18T00:00:00.000Z","KVG","1",""
"19","Terroranschlag in Bamako Malis Jihadisten wagen sich in die Hauptstadt vor","","https://quantinum.com/example.org/kb/Nzz","2015-03-08T00:00:00.000Z","KVG","1",""
